76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
76,76,76,76,76,76,76,76,76,76,76,12,13,13,14,76,76,76,76,76
76,76,76,76,76,76,76,76,76,76,76,30,15,16,110,13,14,76,76,76
76,76,76,76,76,76,76,76,76,76,76,30,51,52,146,31,32,76,76,76
76,76,76,76,76,76,76,76,76,76,76,48,49,49,49,49,50,76,76,76
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
76,76,76,76,76,76,60,13,14,12,13,14,76,76,76,76,76,76,76,76
76,76,76,76,76,12,22,276,22,22,22,32,76,76,76,76,76,76,76,76
76,76,76,76,12,22,22,22,22,294,22,32,76,76,76,76,76,76,76,76
76,76,76,76,30,22,22,22,316,22,49,50,76,76,76,76,76,76,76,76
76,76,76,76,30,22,22,22,22,32,76,76,76,76,76,76,76,76,76,76
76,76,76,60,22,22,22,277,31,31,13,14,76,76,76,76,76,76,76,76
76,76,60,276,22,316,22,22,22,31,31,32,76,76,76,76,76,76,76,76
76,76,78,22,22,22,22,22,317,31,49,50,76,76,76,76,76,76,76,76
76,76,76,78,49,49,49,49,49,50,76,76,76,76,76,76,76,76,76,76
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
